poi_id,basic_category,eligibility
89833650-2955-437e-9f38-3d7dc0633731,personal_or_beauty_service,building_based
6bf5574e-b390-493c-9969-3d938f26e428,restaurant,building_based
1c68ed22-2d19-421b-8839-91dc9f36d9fa,restaurant,building_based
59ac0261-9dc6-43fc-8e76-d851b4dfa31e,home_service,building_based
0b1ce5a4-0de6-4b8a-8af5-05012bc96e56,restaurant,building_based
892eda56-64db-42a4-be4d-2eab3c239a49,home_service,building_based
79fdf0e2-90a9-4362-a45c-f81bb6cbddbc,printing_service,uncertain
f8bfd41f-ac7f-4b5e-ad7f-7704c8347b57,storage_facility,uncertain
351559c0-ef1d-4274-9cf3-470b64407a94,college_university,building_based
97cc5c0f-47ff-4644-9987-b8fa6bfafdea,college_university,building_based
c19eedca-7eed-4cb6-adf3-899ce1689a82,hotel,building_based
1b4f3e5a-2fd6-44f3-b2c1-9d6894aab3b9,coffee_shop,building_based
a7a06a82-e661-491a-a376-b171e7457817,restaurant,building_based
22f04a74-cbc6-42ef-8913-103a7b638527,restaurant,building_based
c0c12a16-ab56-4d5e-8387-1cf94ab99860,restaurant,building_based
fb498670-0c41-4b41-b497-830bbf5f59a8,lake,uncertain
8cfa19a6-ba7d-47ff-a8a9-db7b39dc4841,music_venue,uncertain
a58cfc9c-2ccc-4d6c-b38b-01f22faccb36,college_university,building_based
814f384f-3d30-426c-b276-2c06291939bc,college_university,building_based
7c2f125b-e76c-4171-aa60-c1d6687d14b4,college_university,building_based
25818ad1-3b00-4957-8b2c-05ffb71599e0,college_university,building_based
b1b8e69d-350a-4ffc-8440-675d024ec034,college_university,building_based
96be9726-1079-45a0-9b9a-94451dd39c32,museum,building_based
d42d427f-14b8-46f8-a4c9-da07242b0dfd,christian_place_of_worship,uncertain
5ae8b760-c003-4389-910b-8a45570591dc,college_university,building_based
ab80bb7a-3be9-4397-83f8-c431558a5ed4,theatre_venue,uncertain
cb9ded09-183f-4e92-bd3f-b24a0e679ac5,social_or_community_service,building_based
b19acfd1-f390-4b18-b622-9dd674274c36,college_university,building_based
6d536d8f-d468-4b0f-8d91-200880ed8c9a,coffee_shop,building_based
6a39fe76-81f1-446c-8d1b-ecdf15fcde4c,library,building_based
e2457902-0287-446f-8886-3c15e40a5b25,library,building_based
9301bc0b-a355-4488-9472-c5a2247df91c,,uncertain
117ff797-f524-4440-b170-bcdf4d9804c1,personal_or_beauty_service,building_based
4846b108-ccda-4c00-aeaf-4dcba6d58062,casual_eatery,building_based
1ba010cc-ebb9-4ac3-81d4-120fc3f61d1f,sporting_goods_store,building_based
48a38d1d-a638-43a4-b234-97c805c16a30,bar,building_based
1b482703-d8e6-436b-8d36-9c231af28d6d,smoothie_juice_bar,uncertain
5783ca62-9736-4460-9474-35e7c431f1e4,fashion_and_apparel_store,building_based
5c8c3985-e3fd-4f75-9e4b-275edb5a4c6e,art_gallery,building_based
24cf0936-326e-4abb-ae3e-a983764d51a1,casual_eatery,building_based
6ad0c356-1fd2-4a4d-83d8-71b6f4ececce,restaurant,building_based
63cf585e-6459-4ee1-a3bc-d3b63355839d,casual_eatery,building_based
cb3427bb-b7a4-46ef-9a3e-6a152fe4099b,books_music_and_video_store,uncertain
a83d0d15-affd-4f3c-bcbc-ad7e053bd9f8,smoothie_juice_bar,uncertain
ae5a7ddc-9fc5-423c-8ee9-cad6b6d00942,fashion_and_apparel_store,building_based
dca920f2-7e1c-4734-a71a-35f0d2ff6985,personal_or_beauty_service,building_based
4bd1bc31-9e43-49ee-9303-ee4ff48b29c5,media_service,building_based
bc684f5f-d161-4036-a2d0-8962fa573464,casual_eatery,building_based
fcf8b1e2-a718-4047-89a6-6130d0fe3098,restaurant,building_based
f104f0f7-1e66-41b8-9587-99ffa620ac6e,park,site_based
a3d76500-2e01-45cc-8683-6784f35d5492,,uncertain
f2842d2d-43ec-4293-84d3-e23664aa05a4,casual_eatery,building_based
d3c9c358-c887-4ded-ba99-267acf421f0b,restaurant,building_based
29d39033-b3cc-4e03-8e59-01efca11bb10,restaurant,building_based
3861059a-08e2-486f-9966-7145b6efbb84,restaurant,building_based
421e77f1-61c9-4a47-96b1-e1fe8e1f2da5,bar,building_based
3fe5fda7-1c6d-4d42-8776-f1550b24a56f,books_music_and_video_store,uncertain
7602a36b-299f-4aa6-82bd-d65ed95d7102,fashion_and_apparel_store,building_based
459f6b26-086d-42a8-8640-143d8d9982dd,,uncertain
8d585c65-c027-4176-a6a7-5470b9492fcb,personal_or_beauty_service,building_based
566fa8a2-0349-4188-9f67-69896fecedb7,casual_eatery,building_based
b8f75f83-252b-42e7-8951-17b04c1ad459,home_service,building_based
4df0aa91-430b-4139-8289-bef6de2bc5db,restaurant,building_based
224fec3b-dc2a-4dc0-a564-8b6bebe82a50,college_university,building_based
89a22671-5ce3-401e-afac-a23f2bd408fc,research_institute,uncertain
21237f0a-0aed-46e0-a825-9f70669388a5,college_university,building_based
6efc301e-7589-4d89-b77a-52a82f90ef5a,college_university,building_based
4224eb4e-b9b0-42fc-909c-3298b9e3506a,college_university,building_based
f93d611b-277e-4f8b-8b15-1fee76248990,home_service,building_based
ac233d02-2600-487d-82f0-36b00e257cee,financial_service,building_based
d41acca8-6fe3-4d75-abfd-a96d08913989,atm,uncertain
87f6dbd8-254c-490b-9769-a4a59e8ea67f,bank_or_credit_union,building_based
518535e0-5b0c-4d32-92a2-dd160305b054,design_service,building_based
cf717549-4d3e-4e43-b895-bd6fb587ac39,casual_eatery,building_based
db27995b-03c9-4bb3-b97a-7c5adfe0f88e,personal_or_beauty_service,building_based
c5209ebb-9ee6-48fe-ba34-f7b6e13e703b,shipping_or_delivery_service,uncertain
8661baa9-7002-4293-b5a8-40ebbbcd22e9,restaurant,building_based
4a5767cf-d4c0-41d1-a31f-568a7bcff4ab,atm,uncertain
166253c0-5768-401a-8bc3-b4225ae474f6,cafe,building_based
f2cb015d-c4dd-4d43-89b8-81f51b44d8b7,restaurant,building_based
a4d4eed9-ac7e-4c0c-b0b3-d6d4a564c218,,uncertain
d1e1a77f-7fa3-4ce6-b106-a0fb33291b0c,restaurant,building_based
0e580f91-ad60-4b38-97ce-3dad6d1c8bf7,restaurant,building_based
ffc322e3-88e9-44b1-9341-17d9f773a2a0,fashion_and_apparel_store,building_based
7801179d-6d77-4ce7-9407-e7f8d7f4b500,food_and_beverage_store,building_based
9a8c087e-503f-4a2e-9681-5629fee581b5,sport_or_fitness_facility,uncertain
4ec5b09e-f006-42ad-bf32-a99b5e76a773,technical_service,building_based
8079c233-9e5c-441c-ac94-21612bf54673,,uncertain
580b11c1-588c-4f48-9b4e-03ddcb8a0f53,casual_eatery,building_based
57758488-b6b0-45ea-9db3-c636f5255b17,restaurant,building_based
ecdebdba-3bec-42df-bba8-945a824548ba,restaurant,building_based
fbecc3ac-d4c1-41db-b45e-1287300d54ee,casual_eatery,building_based
8ee6e09c-3352-42d6-8cff-6806a665ff4b,design_service,building_based
46fe1147-ff83-4b48-8f4c-7c1080ba740b,restaurant,building_based
b4847c2a-eafd-401a-9c0b-99baf9439b45,art_gallery,building_based
61463797-398a-4eb4-b975-d4ea5209036b,restaurant,building_based
61520358-c66f-43e1-ac9a-b01cd57fb664,non_alcoholic_beverage_venue,uncertain
5fabf827-ea7b-4173-9965-fc97792afe4f,travel_service,uncertain
bf7b309b-613f-45d0-adc1-938a7a5647dd,restaurant,building_based
b3a09c3f-09f3-4e95-be21-44682d4ee264,,uncertain
828edc66-cd8a-4ce2-9754-a4eedc5ffe72,books_music_and_video_store,uncertain
6e5156e6-be24-4cc3-ab20-af59f76eef97,social_or_community_service,building_based
4185b64b-d554-4c06-bea0-140676fc5a0e,flowers_and_gifts_store,building_based
31c2e902-d36d-4b63-b149-6c14eb1e5f5e,historic_site,uncertain
c63d7ade-55e9-41c2-9fcf-3ee83e0e0447,restaurant,building_based
61f38bdb-ea9d-4515-80ea-f638d7ac3061,wellness_service,building_based
72441527-3143-413a-9e98-c51f76a9a0d4,fitness_studio,building_based
26123b3e-891d-46b9-9bcd-fac2ec1326ba,fitness_studio,building_based
9c149ce2-49e2-438b-9c11-65ff67e6cc6f,casual_eatery,building_based
4d96f80b-137f-42ba-b552-fcb15cd0aab1,music_venue,uncertain
29425693-5e42-4472-9c8c-f1f101b3275b,restaurant,building_based
4a93ca6c-cac7-40db-b550-4b476bf16b85,restaurant,building_based
a3254819-7cf2-43ed-bce0-611376435378,sporting_goods_store,building_based
8b050dd3-ac08-4711-989e-caa11c4ed589,music_venue,uncertain
341548dc-e206-4440-94d3-cddc3eea1ecf,restaurant,building_based
c59d56ba-ec79-4745-95e5-f4b3bbc3bd30,atm,uncertain
4aafc984-dd69-4881-9350-f8bf7dfa0f8e,,uncertain
7c229b2c-fd81-4bd7-bebd-9ccdff9c0b0f,theatre_venue,uncertain
fdf5e4bc-c1b8-4c0e-a5ec-9c1e16466233,theatre_venue,uncertain
d0e0e3d5-b611-49ff-9d91-887ab1ec4ecd,campus_building,uncertain
02e2c4e6-a155-4ab9-822d-fdb23b06800b,performing_arts_venue,uncertain
6d622a3e-f747-4295-8a09-54cd1e3e174f,books_music_and_video_store,uncertain
9071266b-9878-4778-9a1e-995f15f7740c,electronics_store,uncertain
b2a443f5-7080-478d-88a1-0dcc4381e2dd,personal_or_beauty_service,building_based
d1b3a633-cc3d-4504-b539-d517ea52616f,coffee_shop,building_based
b173ae1c-deb9-4a0a-b3b9-d993fb96038a,fashion_and_apparel_store,building_based
80a7f610-6213-4a3c-9b86-80a8cd189c34,restaurant,building_based
566ba00b-3716-49a7-9325-168c72471ece,restaurant,building_based
1f934fde-79e4-41b2-832b-0a823c49fea3,restaurant,building_based
90dc4b28-7c6f-4146-ae9c-46be3d2926f4,,uncertain
6642deaa-3ab5-4678-93c0-38e973fc9ee7,social_or_community_service,building_based
515b9d33-51a3-4f7d-9f64-d277c13a0a71,lodging,uncertain
6e1ce8c1-956f-4904-9355-dca9eb2086b2,,uncertain
fd5aeb58-507f-41ca-9467-dda9156f0453,social_or_community_service,building_based
78a30cef-012f-486f-a793-8a9102662ee9,bar,building_based
11589b08-27b4-43f0-ac07-e82b166ee3d6,cafe,building_based
48c2d8a8-3199-4796-a96b-42dbd06a8d41,college_university,building_based
378b3df1-bce6-49f6-b1cf-27ef8f7bedb7,behavioral_or_mental_health_clinic,building_based
53ca3d29-1be9-4ef8-9075-818c7aff5e8f,social_or_community_service,building_based
ddf42875-b91f-4aaa-8164-c32668b2d8be,fashion_and_apparel_store,building_based
fe9dea26-0660-404b-8ac4-2a0983205039,historic_site,uncertain
bf08ba55-1bb1-4ccc-958b-4a598a6c0c2e,science_attraction,uncertain
99d4bf62-b88e-4e40-9166-ec2b66705176,social_or_community_service,building_based
715e2e0b-d98b-4af3-b087-04fce439dcf9,,uncertain
0fe99324-2f6d-4399-aa9d-7224db7ede92,coffee_shop,building_based
97a7a809-48c8-44aa-a7a3-c4701f463aca,,uncertain
25a12df7-f72d-4e00-b085-c8e1f7c81202,personal_or_beauty_service,building_based
007498c4-7838-437c-a43a-aea33e3c4408,restaurant,building_based
ea7ec2e3-2390-4507-99d5-3dd5d332f55f,restaurant,building_based
f2ab25e9-f9f4-44f8-8f0d-10ce1e598ee9,,uncertain
23e1329a-8176-4165-af3a-f29cc42ed08b,restaurant,building_based
2852a834-3079-43fe-a86d-a558b132b178,restaurant,building_based
da5d54db-dd02-4fe1-a711-2716b2b73f33,restaurant,building_based
